"github.com/asaskevich/govalidator","MIT"
"github.com/google/uuid","BSD-3-Clause"
"github.com/mohae/deepcopy","MIT"
"github.com/ory/fosite","Apache-2.0"
"github.com/ory/fosite-example","Apache-2.0"
"github.com/ory/go-convenience/stringslice","MIT"
"github.com/ory/x/errorsx","Apache-2.0"
"github.com/pborman/uuid","BSD-3-Clause"
"github.com/pkg/errors","BSD-2-Clause"
"golang.org/x/crypto","BSD-3-Clause"
"golang.org/x/net/context","BSD-3-Clause"
"golang.org/x/oauth2","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/square/go-jose.v2","Apache-2.0"
"gopkg.in/square/go-jose.v2/json","BSD-3-Clause"
"github.com/asaskevich/govalidator","MIT"
"github.com/google/uuid","BSD-3-Clause"
"github.com/mohae/deepcopy","MIT"
"github.com/ory/fosite","Apache-2.0"
"github.com/ory/go-convenience/stringslice","MIT"
"github.com/ory/x/errorsx","Apache-2.0"
"github.com/pborman/uuid","BSD-3-Clause"
"github.com/pkg/errors","BSD-2-Clause"
"golang.org/x/crypto","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/square/go-jose.v2","Apache-2.0"
"gopkg.in/square/go-jose.v2/json","BSD-3-Clause"
"golang.org/x/net/context/ctxhttp","BSD-3-Clause"
"golang.org/x/oauth2","BSD-3-Clause"

